Corrected Variable,,Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,,record_id,info_s1_r1_e1,,text,Record ID,,,,,,,,,,,,,
info_recruit_s1_r1_e1,,info_recruit_s1_r1_e1,info_s1_r1_e1,,radio,Are you recruited from SONA Systems or from elsewhere?,"1, SONA Systems | 2, Elsewhere",,,,,y,,y,,,,,
info_where_s1_r1_e1,,info_where_s1_r1_e1,info_s1_r1_e1,,notes,Where were you recruited?,,,,,,y,[info_recruit_s1_r1_e1] = '2',y,,,,,
info_fullname_s1_r1_e1,,info_fullname_s1_r1_e1,info_s1_r1_e1,,text,What is your full name?,,,,,,y,[info_recruit_s1_r1_e1] = '1' OR [info_recruit_s1_r1_e1] = '2',y,,,,,
info_phone_s1_r1_e1,,info_phone_s1_r1_e1,info_s1_r1_e1,,text,What is your phone number?,,,,,,y,[info_recruit_s1_r1_e1] = '1' OR [info_recruit_s1_r1_e1] = '2',y,,,,,
info_email_s1_r1_e1,,info_email_s1_r1_e1,info_s1_r1_e1,,text,"What is your email address? Make sure this is correct, as this is what we will be using to contact you.",,,email,,,y,[info_recruit_s1_r1_e1] = '1' OR [info_recruit_s1_r1_e1] = '2',y,,,,,
info_age_s1_r1_e1,,info_age_s1_r1_e1,info_s1_r1_e1,,text,What's your age?,,,integer,18,24,y,,y,,,,,
info_vision_s1_r1_e1,,info_vision_s1_r1_e1,info_s1_r1_e1,,radio,How do you describe your vision?,"2, Perfectly normal | 1, Not normal, however it has been corrected (For example, you wear glasses, had corrective surgery, et cetera) | 0, Not normal and not corrected",,,,,y,,y,,,,,
info_colorblind_s1_r1_e1,,info_colorblind_s1_r1_e1,info_s1_r1_e1,,yesno,Are you colorblind?,,,,,,y,,y,,,,,
info_injury_s1_r1_e1,,info_injury_s1_r1_e1,info_s1_r1_e1,,yesno,"Have you ever had an injury to the head that's caused you to be knocked out for a period of time (E.g. from a fall, blow to the head, road traffic accident)?",,,,,,y,,y,,,,,
